"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","RU59","Tyumen Oblast","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,18599,,
"2","Large regions (TL2)","RU59","Tyumen Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,5.42,,
"2","Large regions (TL2)","RU59","Tyumen Oblast","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,17895,,
"2","Large regions (TL2)","RU59","Tyumen Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,5.13,,
"2","Large regions (TL2)","RU59","Tyumen Oblast","DOC","Active Physicians (number)","ALL","All regions","2013","2013",,,"0","Units",,,18348,,
"2","Large regions (TL2)","RU59","Tyumen Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2013","2013",,,"0","Units",,,5.2,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,6100,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,4.36,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,6500,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,4.56,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,6813,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,4.71,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,6992,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,4.8,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,7220,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,4.93,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,7545,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,5.13,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,7851,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,5.29,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,8098,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,5.41,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,8361,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,5.53,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,8490,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,5.55,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,8531,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,5.51,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,8559,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,5.44,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC","Active Physicians (number)","ALL","All regions","2013","2013",,,"0","Units",,,8458,,
"2","Large regions (TL2)","RU60","Khanty-Mansi Autonomous Okrug - Yugra","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2013","2013",,,"0","Units",,,5.32,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,2300,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,4.59,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,2300,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,4.55,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,2471,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,4.85,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,2552,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,4.98,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,2741,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,5.31,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,2637,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,5.08,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,2638,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,5.05,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,2604,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,4.97,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,2709,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,5.17,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,2688,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,5.12,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,2614,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,4.93,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,2604,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,4.83,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC","Active Physicians (number)","ALL","All regions","2013","2013",,,"0","Units",,,2648,,
"2","Large regions (TL2)","RU61","Yamalo-Nenets Autonomous Okrug","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2013","2013",,,"0","Units",,,4.9,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,14300,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,3.94,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,14300,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,3.96,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,14290,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,3.99,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,14321,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,4.03,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,14260,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,4.04,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,14448,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,4.12,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,14433,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,4.13,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,14238,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,4.08,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,14321,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,4.11,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,14932,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,4.29,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,15282,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,4.39,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,14555,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,4.18,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC","Active Physicians (number)","ALL","All regions","2013","2013",,,"0","Units",,,14578,,
"2","Large regions (TL2)","RU62","Chelyabinsk Oblast","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2013","2013",,,"0","Units",,,4.18,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,700,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,3.45,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,400,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,1.97,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,765,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,3.77,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,775,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,3.83,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,785,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,3.89,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,816,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,4.05,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,839,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,4.14,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,856,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,4.2,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,898,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,4.38,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,898,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,4.36,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,889,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,4.28,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,902,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,4.31,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC","Active Physicians (number)","ALL","All regions","2013","2013",,,"0","Units",,,972,,
"2","Large regions (TL2)","RU63","Republic of Altai","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2013","2013",,,"0","Units",,,4.61,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,3700,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,3.73,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,3700,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,3.76,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,3744,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,3.83,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,3711,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,3.81,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,3737,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,3.86,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,3777,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,3.91,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,3949,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,4.09,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,3859,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,4,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,3943,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,4.07,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,4016,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,4.14,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,4055,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,4.17,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,4160,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,4.28,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC","Active Physicians (number)","ALL","All regions","2013","2013",,,"0","Units",,,4359,,
"2","Large regions (TL2)","RU64","Buryat Republic","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2013","2013",,,"0","Units",,,4.48,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,1262,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,1.68,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,1295,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,1.73,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,1325,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,1.78,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,1528,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,2.05,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,1588,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,2.13,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,1593,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,2.12,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,1679,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,2.23,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,1669,,
"2","Large regions (TL2)","CA13","New Brunswick","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,2.21,,
"2","Large regions (TL2)","CA24","Quebec","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,16145,,
"2","Large regions (TL2)","CA24","Quebec","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,2.14,,
"2","Large regions (TL2)","CA24","Quebec","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,16354,,
"2","Large regions (TL2)","CA24","Quebec","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,2.16,,
"2","Large regions (TL2)","CA24","Quebec","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,16533,,
"2","Large regions (TL2)","CA24","Quebec","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,2.17,,
"2","Large regions (TL2)","CA24","Quebec","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,14772,,
"2","Large regions (TL2)","CA24","Quebec","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,1.92,,
"2","Large regions (TL2)","CA24","Quebec","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,14982,,
"2","Large regions (TL2)","CA24","Quebec","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,1.93,,
"2","Large regions (TL2)","CA24","Quebec","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,15242,,
"2","Large regions (TL2)","CA24","Quebec","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,1.94,,
"2","Large regions (TL2)","CA24","Quebec","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,15506,,
"2","Large regions (TL2)","CA24","Quebec","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,1.96,,
"2","Large regions (TL2)","CA24","Quebec","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,15886,,
"2","Large regions (TL2)","CA24","Quebec","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,1.98,,
"2","Large regions (TL2)","CA35","Ontario","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,22067,,
"2","Large regions (TL2)","CA35","Ontario","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,1.78,,
"2","Large regions (TL2)","CA35","Ontario","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,22237,,
"2","Large regions (TL2)","CA35","Ontario","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,1.77,,
"2","Large regions (TL2)","CA35","Ontario","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,22141,,
